12
0 1 2
0 2 13
0 3 18
0 4 42
0 5 43
0 6 20
0 7 19
0 8 59
0 9 15
0 10 88
0 11 92
1 0 2
1 2 46
1 3 7
1 4 35
1 5 99
1 6 3
1 7 29
1 8 95
1 9 50
1 10 97
1 11 31
2 0 13
2 1 46
2 3 63
2 4 35
2 5 79
2 6 11
2 7 45
2 8 76
2 9 32
2 10 97
2 11 90
3 0 18
3 1 7
3 2 63
3 4 12
3 5 79
3 6 85
3 7 13
3 8 88
3 9 60
3 10 25
3 11 60
4 0 42
4 1 35
4 2 35
4 3 12
4 5 67
4 6 61
4 7 15
4 8 76
4 9 87
4 10 5
4 11 24
5 0 43
5 1 99
5 2 79
5 3 79
5 4 67
5 6 67
5 7 13
5 8 55
5 9 60
5 10 85
5 11 76
6 0 20
6 1 3
6 2 11
6 3 85
6 4 61
6 5 67
6 7 48
6 8 6
6 9 32
6 10 7
6 11 68
7 0 19
7 1 29
7 2 45
7 3 13
7 4 15
7 5 13
7 6 48
7 8 25
7 9 10
7 10 85
7 11 51
8 0 59
8 1 95
8 2 76
8 3 88
8 4 76
8 5 55
8 6 6
8 7 25
8 9 65
8 10 18
8 11 29
9 0 15
9 1 50
9 2 32
9 3 60
9 4 87
9 5 60
9 6 32
9 7 10
9 8 65
9 10 3
9 11 35
10 0 88
10 1 97
10 2 97
10 3 25
10 4 5
10 5 85
10 6 7
10 7 85
10 8 18
10 9 3
10 11 94
11 0 92
11 1 31
11 2 90
11 3 60
11 4 24
11 5 76
11 6 68
11 7 51
11 8 29
11 9 35
11 10 94
